Financial Data Analysis and Business Plan Creation,Fixed-price,Intermediate,"Financial Analysis
Business Analysis
Financial Modeling
Business Plan
Microsoft Excel",Less than 30 hrs/week
Job Title,Job Type,experienceLevel,job skills,Hours Needed
Programmer Needed For Financial Services Company,Fixed-price,N/A,"Data Mining
Python
Microsoft Excel
Scala
SQL
R
Apache Mahout
pandas
KNIME
Financial Accounting",N/A
AI Tools for Combining Research,Hourly: $20-$80,N/A,"Data Analysis
Data Science
Data Mining
Artificial Intelligence
Machine Learning",N/A
Data Analyst,Hourly: $17-$50,N/A,"Data Analysis
Data Entry
Microsoft Excel
Python
R",N/A
"Writer Needed for FinTech, SaaS, Online Crypto Exchanges, and Online Trading Technologies",Hourly: $25-$40,N/A,"Search Engine Optimization
Fact-Checking
Blog Content
Content Writing
Copywriting
Article Writing
Blog Writing
Crypto Exchange Platform
Online Financial Trading
FinTech",N/A
Financial Data Analysis and Business Plan Creation,Fixed-price,N/A,"Financial Analysis
Business Analysis
Financial Modeling
Business Plan
Microsoft Excel",N/A
Google Analytics 4 expert (GA4) to help me create a Bing Ads report (trial assignment),Fixed-price,N/A,Google Analytics,N/A
Automation Developer for Web Scraping,Hourly: $15-$35,N/A,"Data Scraping
Web Scraping
Python
Automation
Selenium",N/A
Hubspot Custom Reporting,Hourly,N/A,"Data Analysis
Data Analytics
Marketing Analytics
Sales Analytics
Report
Dashboard
HubSpot
Business Intelligence",N/A
Geojson for US districts map,Fixed-price,N/A,"Highcharts
GIS
GeoJSON
ArcGIS",N/A
Tableau Developer,Hourly,N/A,"Data Visualization
Tableau
SQL",N/A
AI Visualisation for Looker Studio,Hourly: $20-$45,N/A,"Data Visualization
Artificial Intelligence
Looker Studio",N/A
Sql Clickhouse for optimizing queries tinybird,Fixed-price,N/A,"SQL
ClickHouse",N/A
Dashboard for Client Revenue and Investment Tracking,Hourly,N/A,"Data Visualization
Data Analysis
Microsoft Excel
Google Analytics
Looker Studio",N/A
A/b test labels on site to improve click thru,Hourly: $17-$50,N/A,"Google Optimize
A/B Testing",N/A
Data Scraping: Education Consulting Industry,Hourly: $5-$10,N/A,"Data Scraping
Sales Lead Lists
Prospect List",N/A
Create a Map Visualization Using Provided Data,Fixed-price,N/A,"Data Visualization
Data Analysis
Adobe Photoshop",N/A
Migrate our Amplitude Product Dashboards to Mixpanel,Hourly: $10-$50,N/A,"Data Visualization
Looker
Growth Analytics
Dashboard
Google Analytics
Amplitude",N/A
Need Google Sheet & Looker Studio Professional,Hourly: $10-$30,N/A,"Data Visualization
Looker Studio
Google Sheets",N/A
Small Data Analysis Project,Fixed-price,N/A,"Data Analysis
Data Interpretation
Data Entry
Microsoft Excel
Spreadsheet Software
Spreadsheet Skills",N/A
Image Analysis and Correlation Task: Hand X-rays to Age - MATLAB/Python,Fixed-price,N/A,"Data Analysis
Python
Machine Learning
Image Processing
Feature Engineering
MATLAB",N/A
Predictive task,Fixed-price,N/A,"Data Science
Python
Statistics",N/A
GA Looker Studio Ecommerce Report,Fixed-price,N/A,"Data Visualization
Looker Studio
Google Analytics",N/A
Data Analyst,Hourly: $17-$50,N/A,"Data Analysis
Data Entry
Microsoft Excel
Python
R",N/A
Web Scraper and Content Extraction Specialist,Hourly: $15-$40,N/A,"Data Scraping
Data Extraction
Beautiful Soup
Python
Web Crawling",N/A
AI development to enhance our current product,Hourly: $30-$55,N/A,"AI Content Creation
Python
ChatGPT
AI Model Integration",N/A
Qlik - Data Pipeline Onboarding Contract,Hourly: $60-$100,N/A,"Data Migration
R
SQL
ETL Pipeline
Qlik Sense
QlikView
ETL",N/A
Write SQL query to get metrics from NYC taxi databse,Hourly: $10-$15,N/A,"Data Analysis
SQL
Database
SQL Programming
Business Logic Layer
Business Intelligence",N/A
Google Analytics 4 implementation,Fixed-price,N/A,"Google Analytics
Analytics
Marketing Analytics",N/A
Dynamic LLM-Agent Network: An LLM-agent Collaboration Framework with Agent Team Optimization,Fixed-price,N/A,"Deep Learning
Deep Learning Modeling
Model Optimization
Natural Language Generation
Neural Network
Natural Language Processing
Python",N/A
Azure Data Factory Engineer,Hourly: $50-$80,N/A,"Microsoft Azure
ETL Pipeline
Microsoft Azure SQL Database
Azure App Service",N/A
Remote Part-Time Lead Data Scientist (AI),Hourly: $20-$50,N/A,"Data Science
Python
Machine Learning
Artificial Intelligence",N/A
Remote Full-Time Lead Data Scientist (AI),Hourly: $20-$50,N/A,"Data Science
Python
Machine Learning
Artificial Intelligence",N/A
Senior Mirth Developer,Hourly: $15-$35,N/A,"JavaScript
SQL",N/A
Apache Superset,Fixed-price,N/A,"SQL
Apache Superset
React",N/A
Senior Data engineer,Hourly: $3-$12,N/A,"Data Management
Data Science
Big Data
ETL Pipeline
Python
Apache Spark
Algorithms
SQL
JavaScript
MySQL Programming",N/A
Python Barcode Image Recovery,Hourly: $37-$80,N/A,"Python
Image Processing
OpenCV",N/A
Senior Database Administrator,Hourly: $50-$150,N/A,"Database Design
Database Optimization
SQL
Database Administration
Database Management",N/A
Data Scraping,Hourly: $3-$40,N/A,"Data Scraping
Data Mining
Data Extraction",N/A
Data analysis,Fixed-price,N/A,"Data Visualization
Data Analysis
Statistics",N/A
Social Media Data Analyst,Hourly,N/A,"Data Analysis
Data Analytics
Data Interpretation",N/A
Statistician for Dissertation,Fixed-price,N/A,"Data Analysis
IBM SPSS
Statistics
Quantitative Analysis
Statistical Analysis
Academic Writing
Research Papers",N/A
Backend Developer,Hourly: $15-$35,N/A,"Python
Azure DevOps
API
Node.js
Next.js",N/A
Developer needed to make chat gpt ai application,Fixed-price,N/A,"Data Mining
Data Science
Python
Artificial Intelligence
Natural Language Processing
Machine Learning
Chatbot Development
Bot Development
Neural Network
Computer Vision",N/A
Data Analyst,Hourly: $17-$50,N/A,"Data Analysis
Data Entry
Microsoft Excel
Python
R",N/A
Audio fingerprinting // Detect audio samples // machine learning,Fixed-price,N/A,"Machine Learning
Python
Deep Learning
Audio & Music Software",N/A
HR Dashboard along with Datasheet in Excel,Fixed-price,N/A,"Data Analysis
Data Entry
Data Visualization
Google Sheets
Microsoft Excel
Google Docs
Microsoft Power BI",N/A
SAP S/4HANA Specialist,Hourly: $35-$40,N/A,"Implementation
Solution Architecture Consultation
SAP
SAP HANA
ABAP
SAP BASIS
SAP ERP
SAP BusinessOne
SAP Business Warehouse",N/A
Flutter Developer with Machine Learning Expertise Needed for Recommendation System,Fixed-price,N/A,"Python
Machine Learning
TensorFlow
Flutter
Firebase",N/A
Senior Policy Analyst,Fixed-price,N/A,Report Writing,N/A
Looking for an Google AI Tools Specialist,Hourly,N/A,"Data Science
AI Model Integration
Python
Machine Learning
Deep Learning
Artificial Intelligence
TensorFlow
Chatbot Integration",N/A
Looking for an Microsoft AI Tools Specialist,Hourly,N/A,"Data Science
AI Model Integration
Python
Machine Learning
Deep Learning
Artificial Intelligence
TensorFlow
Chatbot Integration",N/A
Looking for an Bubble.io Specialist,Hourly,N/A,"Data Science
AI Model Integration
Python
Machine Learning
Deep Learning
Artificial Intelligence
TensorFlow
Chatbot Integration",N/A
Looking for an Zapier Specialist,Hourly,N/A,"Data Science
AI Model Integration
Python
Machine Learning
Deep Learning
Artificial Intelligence
TensorFlow
Chatbot Integration",N/A
Looking for an OpenAi Specialist,Hourly,N/A,"Data Science
AI Model Integration
Python
Machine Learning
Deep Learning
Artificial Intelligence
TensorFlow
Chatbot Integration",N/A
Sentiment Analysis Python,Fixed-price,N/A,"Data Science
Python
Machine Learning
Sentiment Analysis",N/A
"Web Scraping, Data Analysis, NLP, AI, and Machine Learning Expert",Hourly: $35-$80,N/A,"Data Science
Python
Machine Learning
Natural Language Processing
Artificial Intelligence",N/A
Python Data Engineer (Scraping Specialist) - Full Time,Hourly: $3-$4,N/A,"Data Mining
Data Scraping
Python
Selenium
pandas",N/A
Custom GA4 Report for products that were purchased after the first interaction.,Hourly: $5-$50,N/A,Google Analytics 4,N/A
Big Data Engineer (PySpark and Kedro pipelines),Fixed-price,N/A,"Big Data
ETL Pipeline
Docker
Python",N/A
Tasks By Planner Integration With Power Bi,Hourly: $10-$78,N/A,"Data Analysis
Data Visualization
Data Analytics
Dashboard
Report
Microsoft Power BI",N/A
Convert Code Images to Text,Fixed-price,N/A,Image Processing,N/A
Expert Needed to Integrate DocVQA Dataset with CONTA Repo,Fixed-price,N/A,"Data Science
PyTorch
Model Optimization
Machine Learning Model
Supervised Learning
Python
Machine Learning
TensorFlow",N/A
Senior Vue js.,Hourly: $25-$29,N/A,Vue.js,N/A
SaaS Conversion Optimization Specialist,Fixed-price,N/A,"A/B Testing
Funnel Testing
Conversion Rate Optimization",N/A
Scrape a website for me,Fixed-price,N/A,"Data Scraping
Data Mining
Web Crawling
Scrapy",N/A
Machine Learning Model Training with GPU,Hourly: $20-$30,N/A,"PyTorch
Amazon SageMaker
Machine Learning Model
Model Optimization
Machine Learning
Python",N/A
AI Chatbot Developer for Authentic Customer Service Automation,Fixed-price,N/A,"Chatbot Development
Artificial Intelligence
Natural Language Processing
API
Machine Learning
Bot Development
Dialogflow API",N/A
Proofreading PDF using ChatGPT/AI tools,Hourly,N/A,"Artificial Intelligence
English",N/A
I want to pramote my betting application from bulk sms and i have data for pramotion....,Fixed-price,N/A,"Data Integration
Data Analysis
SMS Gateway",N/A
Web scrapping Project,Fixed-price,N/A,"Data Scraping
Data Mining
Data Extraction
WordPress Plugin
Growth Hacking
Web Crawling
SOAP",N/A
Fax Data Collections,Fixed-price,N/A,Data Mining,N/A
NPD Data Analytics Coordinator,Hourly: $10-$15,N/A,"Data Analysis
Microsoft Excel
Analytics",N/A
Comprehensive Web Scraping of Official and Support Website,Hourly: $10-$30,N/A,"Data Scraping
Python
PDF",N/A
Research Specialist Needed: Extract or Scrape Contact Details for Fintech companies,Hourly: $14-$35,N/A,"Data Extraction
Data Scraping
Data Entry
Data Mining
Scrapy
PHP
SQL
List Building
Prospect List
Email",N/A
Need a Cloud Computing Expert for Data Science Training,Hourly: $60-$70,N/A,Cloud Computing,N/A
Largescale machine learning and Math Project.,Fixed-price,N/A,"Data Science
Machine Learning
Python
Mathematics",N/A
Scrap and post on wp,Hourly,N/A,"Data Scraping
Data Entry
Python
WordPress
Scrapy
PHP
MySQL",N/A
Freelance Referral Fraud Checking,Fixed-price,N/A,"Data Processing
Microsoft Excel",N/A
Analysis of large data on different companies to generate insights,Hourly,N/A,"Data Analytics
Data Analysis
Microsoft Excel
Python",N/A
AI Picture Learning App for Mac OS,Hourly,N/A,"iOS
Python
Swift
Artificial Intelligence
iOS Development",N/A
BI Lead,Hourly: $10-$20,N/A,"Python
R
Google Analytics
Google Tag Manager",N/A
CRO Expert Experienced with AI Chatbots Needed,Hourly: $50-$150,N/A,"A/B Testing
Chatbot Development
Artificial Intelligence
Campaign Optimization",N/A
Document gpt like privateGPT,Fixed-price,N/A,"Python
Machine Learning
Artificial Intelligence
API
Node.js",N/A
BI Consultant,Fixed-price,N/A,"Business Intelligence
Business Analysis
Marketing Analytics",N/A
Largescale machine learning and Math Project,Fixed-price,N/A,"Data Science
Machine Learning
Python
Mathematics",N/A
Conversational AI Specialist for Mental Health Application (OpenAI GPT-based),Hourly: $17-$42,N/A,"Machine Learning
Conversational AI
UX Writing
Natural Language Processing
Artificial Intelligence
Deep Learning",N/A
Need a web scraper,Fixed-price,N/A,"Data Scraping
Data Mining
Data Extraction
Data Entry
Web Scraping
Selenium
Beautiful Soup
Python
Scrapy",N/A
Power BI,Fixed-price,N/A,"Data Modeling
SQL",N/A
Seeking Minitab Specialist for Full Factorial Design Analysis,Fixed-price,N/A,"Data Analytics
Data Visualization
Minitab",N/A
Data download from website to SQL server,Fixed-price,N/A,Microsoft SQL Server,N/A
Machine Learning Engineer/Data Scientist,Hourly: $17-$42,N/A,"Machine Learning
Deep Learning
Artificial Intelligence",N/A
Need a web scraper,Fixed-price,N/A,"Data Scraping
Data Mining
Data Extraction
Data Entry
Web Scraping
Selenium
Beautiful Soup
Python
Scrapy",N/A
Statistics & R Studio,Hourly: $5-$10,N/A,"Data Visualization
Data Science
Data Analysis
R
Statistics
Quantitative Analysis
Statistical Analysis",N/A
Snowflake and DBT engineer,Hourly: $15-$20,N/A,"CI/CD Platform
Amazon Web Services
Snowflake
dbt",N/A
AI Customer Assistant for Filter Replacement,Fixed-price,N/A,"Data Entry
WordPress
Python
Adobe Photoshop
Adobe Illustrator",N/A
Create Google Sheets Dashboard based on template,Fixed-price,N/A,"Data Visualization
Dashboard
Google Sheets",N/A
Want proposal for ML project,Fixed-price,N/A,"Data Science
Data Analysis
Deep Learning
Python
Machine Learning
Neural Network
Artificial Intelligence
Genetic Algorithm
Genetic Engineering
Genetics",N/A
Historical tweets of 10 username,Fixed-price,N/A,"Data Scraping
Python",N/A
Python GUI for data visualization,Hourly,N/A,"Data Visualization
Python
GUI Design",N/A
Scrap data from the site using Python,Fixed-price,N/A,"Data Scraping
Data Mining
Data Extraction
Python
Scrapy
Python Script",N/A
Python developer to help with Image recognition,Fixed-price,N/A,"Python
OpenCV
Computer Vision
Python Script",N/A
Business Intelligence lead,Hourly: $20-$30,N/A,"Microsoft Power BI
Python
R
Business Intelligence
Google Analytics",N/A
"Google Workspace, Cybersecurity, Subscriptions and licenses, IT focal point",Hourly: $20-$55,N/A,"Network Security
Network Administration
Information Security
Firewall
Security Analysis",N/A
CRO expert,Hourly: $10-$100,N/A,"Funnel Testing
Conversion Rate Optimization
A/B Testing
Landing Page
Marketing Strategy",N/A
RAG chatGPT Implementation,Hourly: $5-$100,N/A,"Data Science
Python
Machine Learning
ChatGPT API Integration
LLM Prompt Engineering",N/A
Gen AI - Open AI Needed help with negative prompts to work as per need,Fixed-price,N/A,"Artificial Intelligence
Machine Learning
Stable Diffusion Prompt",N/A
Build a webscraper for 5 websites,Fixed-price,N/A,"Data Scraping
Data Mining
Web Development",N/A
Build a custom dashboard for client reports,Fixed-price,N/A,"Data Visualization
Dashboard",N/A
Web Scraper Needed to Extract Player Details from IPL Website and Match to Spreadsheet,Hourly,N/A,"Data Scraping
Data Extraction
Google Sheets",N/A
3D Visualization - Open GL - PCD,Fixed-price,N/A,"Dashboard
API Integration
Digital Mapping
Presentations
ArcGIS
D3.js
3D Design
3D Modeling
3D Rendering
AutoCAD Civil 3D
OpenGL
OpenGL ES
C++
C
Point Cloud to BIM
CAD & CAM Software
CAD",N/A
Data Ingestion and Analysis using Elastic Stack,Hourly: $40-$200,N/A,"Elasticsearch
Logstash
Kibana",N/A
Business Intelligence (BI),Fixed-price,N/A,"SQL
Python
Microsoft Power BI
Business Intelligence
Google Analytics
Google Tag Manager
Secure SDLC",N/A
"Web Scraping, Data Integration, and AI Specialist",Fixed-price,N/A,"Data Scraping
Data Mining
Data Extraction
Data Science
Python
Machine Learning
Artificial Intelligence",N/A
Junior Project Manager,Hourly,N/A,"Project Management
Milestones
Communications
Process Infographics",N/A
TAM Analysis in Key Global Markets for AI-Powered SaaS Platform,Fixed-price,N/A,"Data Analytics
Data Analysis
Marketing Analytics
Statistical Analysis
Market Analysis
Marketing Strategy
TAM Analysis",N/A
Power Bi developer needed,Fixed-price,N/A,"Data Modeling
Data Warehousing
Microsoft Power BI
SQL",N/A
"YouTube email Scrapping, Data Extraction Tool Development, Crawl software development",Fixed-price,N/A,"Data Scraping
Data Extraction
Data Mining
Python
Web Crawling
API
Scrapy",N/A
Automate user stories with TensorFlow OpenAi,Fixed-price,N/A,"ChatGPT
TensorFlow
Machine Learning",N/A
Canvas LMS Expertise Needed: Generate Data Analysis Questions,Fixed-price,N/A,"Data Analysis
Business Intelligence
Instructure CANVAS
Education
Education Framework",N/A
AI Chatbot workflow design for Insurance bot,Hourly: $17-$42,N/A,"Chatbot Development
Bot Development
IBM Watson
Natural Language Processing
Dialogflow API
Python
Artificial Intelligence",N/A
Create a POC for a fintech hackathon using machine learning,Fixed-price,N/A,"Data Science
Machine Learning
Python",N/A
Programmer to do specifics in AI,Fixed-price,N/A,"Artificial Intelligence
Python",N/A
Web scraper required,Fixed-price,N/A,"Data Scraping
Data Mining
Python
Scrapy
Selenium
Web Crawling",N/A
Looking for - Power BI resources,Fixed-price,N/A,"Data Visualization
Data Modeling
Data Warehousing
Data Integration
Microsoft Power BI",N/A
Looker Studio & GA4 Expert Wanted to Create SEO Dashboard,Hourly: $10-$50,N/A,"Digital Marketing
Search Engine Marketing",N/A
AI Training & WebsiteDesign,Hourly: $15-$28,N/A,"Artificial Intelligence
Machine Learning
Website Audit",N/A
Chat gpt integration into website,Hourly: $17-$42,N/A,"Data Science
Artificial Intelligence
MATLAB
Python
JavaScript
WordPress
PHP
jQuery
Vue.js",N/A
AI expert for marketing projects,Hourly: $25-$30,N/A,"Data Analysis
Machine Learning
PyTorch
NumPy
TensorFlow
Jupyter Notebook",N/A
Python Developer GIS Data to Circuit,Hourly: $20-$200,N/A,"Python
GIS
NumPy",N/A
Google Document AI Dataset Labeling and Model Training,Fixed-price,N/A,"Data Entry
Machine Learning Model
Model Optimization
Model Tuning
Machine Learning",N/A
GA4 Expert to create reports for Ecommerce Sites,Hourly: $10-$50,N/A,"Data Analytics
Google Analytics
Business Intelligence",N/A
Math/Stats Expert for Casino Bankroll Analysis,Hourly: $20-$35,N/A,"Mathematics
Statistics
IBM SPSS
R
Quantitative Analysis",N/A
Machine Learning Multi Label Text Classification,Fixed-price,N/A,"Machine Learning
Python
Natural Language Processing
AI-Enhanced Classification",N/A
Analyse survey results from community consultation,Hourly: $17-$40,N/A,"Data Analysis
Market Research
Market Analysis
Analytics
SurveyMonkey",N/A
Scrape likes list from user profiles on Facebook from a post that they commented on,Hourly: $5-$15,N/A,Data Scraping,N/A
Dashboard Builder (Data Analyst),Hourly: $10-$40,N/A,"Data Analysis
Data Visualization
API Integration
Dashboard
Digital Mapping
Tableau
Google Analytics
Python",N/A
Website scraping for Real Estate,Hourly: $3-$8,N/A,"Data Scraping
Data Entry
Data Mining
API Integration
Python
Microsoft Excel",N/A
Machine Learning - urgent requirement,Fixed-price,N/A,"Machine Learning
Python",N/A
Data Analyst/IT Support,Hourly: $4-$6,N/A,"Data Visualization
Big Data
Data Analytics
Data Analysis
Sales Analytics
Product Analytics
Customer Service Analytics
Dashboard
Business Intelligence
Microsoft Excel",N/A
"Seeking Bioinformatics Expert: NGS, Python, Unix",Fixed-price,N/A,"Python
Linux
Bioinformatics
R
Machine Learning",N/A
Python + AI,Hourly,N/A,"Data Science
Python
Artificial Intelligence
Machine Learning
TensorFlow",N/A
AI Bot for Future Result Prediction of AVIATOR GAME,Hourly,N/A,"Machine Learning
Python
Artificial Intelligence
TensorFlow
Neural Network",N/A
AI ChatGPT consultation,Fixed-price,N/A,"AI Content Creation
Machine Learning",N/A
Build a credit scoring algorithm for B2B in Europe,Hourly,N/A,"Financial Analysis
Underwriting
Credit Scoring
Commercial Lending
Loan Approval",N/A
Conversion rate optimisation expert needed,Hourly: $17-$50,N/A,Conversion Rate Optimization,N/A
Image Recognition Designer,Fixed-price,N/A,"Image Processing
Deep Learning
Web Design
Artificial Intelligence",N/A
Senior Data Engineer - (Remote - Ireland Based),Hourly: $20-$30,N/A,"Python
ETL Pipeline
TIBCO Spotfire
Snowflake
SQL Server Integration Services
Microsoft SQL Server",N/A
Data Analyst,Hourly,N/A,"Data Visualization
Microsoft Excel
Python
SQL
Business Intelligence",N/A
"AI Consultant for RAG ChatBot (focus on Vector DB, Embeddings & Retrieval)",Hourly: $35-$70,N/A,"Data Science Consultation
Artificial Intelligence
Chatbot Development
Natural Language Processing
Machine Learning
Python",N/A
Reporting Wizard,Fixed-price,N/A,"Data Visualization
Dashboard
Report
Google Analytics
Looker Studio",N/A
"I need an AI program for Mac to generate songs on Spotify, Apple Music, YouTube Music, Etc",Hourly: $63-$146,N/A,"AdaBoost
AlexNet
Autoencoder
AI Chatbot
AI Content Creation
AI Text-to-Image
Java
Scala
Music
Audio Editing",N/A
[FULL STACK] Front/Back end highly technical dev project,Hourly: $25-$35,N/A,"JavaScript
Web Development
PHP
React
Node.js
CSS
HTML
WordPress
API
AngularJS",N/A
Data Scraping to Find US School Alumni,Hourly: $7-$21,N/A,"Data Scraping
Data Mining
Online Research
List Building
Lead Generation",N/A
Help me write an AI Software for Marketing Analytics,Hourly: $17-$41,N/A,"Data Analysis
Software",N/A
ETL engineer to integrate multiple data sources into a single dashboard,Fixed-price,N/A,"Data Analysis
ETL Pipeline
SQL
Tableau
API",N/A
Freelance Data Analyst,Hourly: $17-$50,N/A,"Data Analysis
Data Entry
Data Visualization
Microsoft Excel
Google Docs
Microsoft PowerPoint",N/A
Consultation fine-tuning large language model,Hourly: $10-$15,N/A,"Machine Learning
Natural Language Processing",N/A
"Python script to determine Best Fit (Math, no ML)",Hourly: $40-$200,N/A,"Data Science
Python
Statistics
Mathematical Modeling",N/A
Web Scraper,Hourly,N/A,"Data Scraping
Data Mining
Python
Web Crawling",N/A
'Excel Prediction Worksheet,Hourly: $40-$75,N/A,"Data Analysis
Growth Analytics
Operations Analytics
Microsoft Excel
Visual Basic for Applications
Statistics
Spreadsheet Software",N/A
Help pick random vs fixed effects model for time-series analysis,Fixed-price,N/A,"Data Analytics
Data Interpretation
Data Analysis
Stata
Time Series Analysis",N/A
Geospatial Data Visualization,Hourly,N/A,"Data Visualization
ArcGIS
Python",N/A
Linked In Data,Hourly: $15-$40,N/A,"Data Mining
Data Entry
LinkedIn",N/A
Power BI Database Reporting Help,Hourly: $45-$100,N/A,"Data Analysis
Data Modeling
Microsoft Power BI
ETL
SQL
Business Intelligence",N/A
Forex/Crypto Trader,Hourly: $15-$35,N/A,Forex Trading,N/A
Segment and Mixpanel Integration,Hourly: $40-$75,N/A,"Mixpanel
Google Analytics API
Analytics
Web Analytics",N/A
I am trying to log data that is coming in already linked to a specific cell in Excel,Fixed-price,N/A,"Microsoft Excel
Macros",N/A
Deep Learning Expert Needed to Train CCTV Image Recognition Models,Fixed-price,N/A,"Data Science
Machine Learning
Deep Learning",N/A
create a controller in Python GUI or fuzzy logic in Matlab for the below decision rule table.,Fixed-price,N/A,"Data Science
Python
Machine Learning
H2O",N/A
Data Scrape of a website directory,Hourly,N/A,"Data Scraping
Data Extraction",N/A
Qlik Consultation,Hourly: $5-$10,N/A,"Qlik Sense
QlikView",N/A
Expert SQL Analyst for App Store Insights Project,Fixed-price,N/A,"Data Analysis
Data Visualization
SQL
Analytics",N/A
"Data Analyst Expert (Power BI, HubSpot, CRM) For Awesome Dashboards",Hourly: $35-$65,N/A,"Data Analysis
Data Visualization
Tableau
Microsoft Power BI
Microsoft Excel
SQL
HubSpot",N/A
Provide Average Daily Traffic for List of Addresses,Hourly,N/A,"Data Processing
Data Segmentation
Data Mining
Data Scraping
Microsoft Excel
List Building",N/A
"Databricks Developer with Pyspark, Python",Hourly: $15-$20,N/A,"SQL
Python
PySpark
Apache Spark",N/A
Crypto/NFT Manager For Metaverse Project,Fixed-price,N/A,"Data Analysis
Cryptocurrency
Project Management
NFT
Market Analysis",N/A
Data Mining - Non Medical. Private Duty Home Care Emails ONLY,Hourly,N/A,"Data Mining
Data Scraping",N/A
PowerBI with Experience in Smartsheet,Hourly,N/A,"Data Visualization
Microsoft Power BI
Dashboard
Presentations
Smartsheet",N/A
"Azure ML, Classification Model and Use of Power Bi AI",Fixed-price,N/A,"Data Science
Data Analysis
Data Modeling
Azure Machine Learning
Machine Learning
Artificial Intelligence
Microsoft Power BI
Azure DevOps
Python",N/A
Bulding a news site scraping script using Octoparse,Hourly: $5-$10,N/A,"Data Scraping
Data Extraction
Screen Scraping",N/A
Land Valuation/Acquisition Specialist,Hourly: $5-$10,N/A,"Microsoft Excel
Valuation
Administrative Support
Market Research
Due Diligence",N/A
AI-Driven POC - Chat,Hourly: $35-$70,N/A,"Chatbot
Model Tuning
Model Optimization
Python
Chatbot Development
Machine Learning
Large Language Model",N/A
Influencer Partner for Scientific Research,Fixed-price,N/A,"Health Science
Science
Social Media Marketing
Human Body
Health & Wellness
Health
Health & Fitness
Digital Marketing",N/A
Real Time Video Processing with AI for Hand Movement Detection,Fixed-price,N/A,"Machine Learning Model
Deep Learning
Classification
Machine Learning
Computer Vision
Artificial Intelligence
TensorFlow
Python",N/A
Marketing Manager for Open Source Intelligence Company,Hourly: $3-$20,N/A,"Lead Generation
Google Analytics
Microsoft Excel",N/A
AI and ML- Marketing Scientist,Hourly: $50-$120,N/A,"Data Science
Model Tuning
Machine Learning Model
Java
Python
C++
R
Machine Learning
Artificial Intelligence",N/A
Build campaign reports using Google Slides and Google Sheets,Hourly: $10-$40,N/A,"Presentations
Google Sheets
Google Slides",N/A
Create strategic grafical map,Fixed-price,N/A,Data Visualization,N/A
Data analyst with extensive knowledge in R programming is needed in a team to work on a project,Fixed-price,N/A,"Data Analysis
Data Science
R
Statistics",N/A
AI Deep-Fake Video Editor,Fixed-price,N/A,"Computer Vision
Artificial Intelligence
Deep Learning
Neural Network
TensorFlow",N/A
Seeking Dataset / Scrape: Self Storage Businesses,Fixed-price,N/A,"Data Scraping
Data Mining
Data Entry",N/A
Puppeteer web scrapper,Hourly: $15-$40,N/A,"Data Scraping
Data Mining
Web Scraping
Screen Scraping
API Integration
JavaScript
Node.js
Python
Web Crawling
API",N/A
Analyse similarity between images,Fixed-price,N/A,"Data Analysis
ImageJ
Pattern Recognition",N/A
UA to GA4 Migration for B2B SaaS Company,Hourly: $17-$50,N/A,"Google Analytics
Google Tag Manager
Google Ads",N/A
